school_name,niche_ranking,location,num_of_students,link,phone,website,video_url,student_teacher_ratio,yearly_tuition,avg_financial_aid,application_deadline
St. Edmund's Academy,,"Pittsburgh, PA, ",298,https://www.niche.com/k12/st-edmunds-academy-pittsburgh-pa/,(412) 521-1907,stedmunds.net,,,"$20,750",,February 15
Providence Heights Alpha School,,"Allison Park, PA, ",165,https://www.niche.com/k12/providence-heights-alpha-school-allison-park-pa/,(412) 366-4455,alphaschool.org,,,"$8,550",,Rolling Admissions
St. Mark's School,#25 Best Boarding High Schools in America,"Southborough, MA, ",365,https://www.niche.com/k12/st-marks-school-southborough-ma/,(508) 786-6000,stmarksschool.org,,4:1,"$48,750","$52,196",
Shady Side Academy,#24 Best Boarding High Schools in America,"Pittsburgh, PA, ","1,032",https://www.niche.com/k12/shady-side-academy-pittsburgh-pa/,(412) 968-3000,shadysideacademy.org,,8:1,"$30,975","$18,000",December 17
Woodside Priory School,#23 Best Boarding High Schools in America,"Portola Valley, CA, ",375,https://www.niche.com/k12/woodside-priory-school-portola-valley-ca/,(650) 851-8223,prioryca.org,,6:1,"$45,500","$41,000",January 10
,,,,https://www.niche.com/k12/survey/,,,,,,,
The Taft School,#22 Best Boarding High Schools in America,"Watertown, CT, ",606,https://www.niche.com/k12/the-taft-school-watertown-ct/,(860) 945-7777,taftschool.org,,5:1,"$45,600","$43,800",January 15
Lake Forest Academy,#21 Best Boarding High Schools in America,"Lake Forest, IL, ",434,https://www.niche.com/k12/lake-forest-academy-lake-forest-il/,(847) 615-3284,lfanet.org,,6:1,"$44,400","$52,016",Rolling Admissions
St. Albans School,#20 Best Boarding High Schools in America,"WASHINGTON, DC, ",585,https://www.niche.com/k12/st-albans-school-washington-dc/,(202) 537-6440,stalbansschool.org/page,,8:1,"$42,484",,
St. Andrew's School,#19 Best Boarding High Schools in America,"Middletown, DE, ",310,https://www.niche.com/k12/st-andrews-school-middletown-de/,(302) 285-4213,standrews-de.org,,6:1,"$55,500",,
Hackley School,#18 Best Boarding High Schools in America,"Tarrytown, NY, ",834,https://www.niche.com/k12/hackley-school-tarrytown-ny/,(914) 631-0128,hackleyschool.org,,8:1,"$45,775",,
The Hockaday School,#17 Best Boarding High Schools in America,"Dallas, TX, ","1,089",https://www.niche.com/k12/the-hockaday-school-dallas-tx/,(214) 360-6526,hockaday.org,,9:1,"$29,000",,January 28
Peddie School,#16 Best Boarding High Schools in America,"Hightstown, NJ, ",550,https://www.niche.com/k12/peddie-school-hightstown-nj/,(609) 944-7500,peddie.org,,6:1,"$48,800",,
The Hotchkiss School,#15 Best Boarding High Schools in America,"Lakeville, CT, ",600,https://www.niche.com/k12/the-hotchkiss-school-lakeville-ct/,(860) 435-3102,hotchkiss.org,,6:1,"$49,550","$48,215",January 15
